station_uuid,original_station_id,latitude,longitude,station_name,city,zip_code_uuid
4562be7f-bb42-e0b2-0426-465e3e37952d,4202.0,33.991161,-118.468292,,Los Angeles,687c966c-377b-9aa2-bb2e-db20035b7399
5f3f5638-3870-1a14-b490-b6081dfc8352,4204.0,33.988419,-118.45163,,Los Angeles,687c966c-377b-9aa2-bb2e-db20035b7399
6d16ee18-5521-16dd-2ba4-b180cb69ca38,4205.0,33.993771,-118.453667,,Los Angeles,687c966c-377b-9aa2-bb2e-db20035b7399
c87a7463-19c1-6a0d-0feb-d845d0dfae43,4206.0,33.998341,-118.461014,,Los Angeles,687c966c-377b-9aa2-bb2e-db20035b7399
38018b47-b29a-8b06-daf6-6c5f2577bffa,4207.0,34.000881,-118.46891,,Los Angeles,de11cc9d-ea95-9c21-2e9c-82b1478c281d
a25b59fd-92e8-e269-d12e-cbc40b9475b1,4208.0,33.99868,-118.472977,,Los Angeles,687c966c-377b-9aa2-bb2e-db20035b7399
9a27d858-88c1-32ad-efbf-c19ee8f6cf32,4209.0,33.996239,-118.477448,,Los Angeles,687c966c-377b-9aa2-bb2e-db20035b7399
1fdb8b32-06d5-99e8-12f1-75ffae3b16ec,4210.0,33.984341,-118.47155,,Los Angeles,c30d8b76-28db-d25e-63b2-29f1c4069545
d480865f-9b38-fe80-3042-e325a28f5ab0,4211.0,33.984928,-118.469963,,Los Angeles,c30d8b76-28db-d25e-63b2-29f1c4069545
176ea1b1-6426-4cd5-1ea4-5cd69371a71f,4212.0,33.988129,-118.471741,,Los Angeles,687c966c-377b-9aa2-bb2e-db20035b7399
1db53334-fb03-23a1-d576-d4155ec17dbe,4213.0,33.995369,-118.464798,,Los Angeles,687c966c-377b-9aa2-bb2e-db20035b7399
31d0b664-0589-f877-9b02-52440950fd13,4214.0,33.99556,-118.481552,,Los Angeles,9e30691c-2386-42ea-126a-1e48cc11d357
b7d6467b-2f5a-522a-f87f-43fdf6062541,4215.0,34.014309,-118.491341,,Los Angeles,9e30691c-2386-42ea-126a-1e48cc11d357
ba26d851-35e8-579a-7aaf-0e891fb797fa,4216.0,34.023392,-118.479637,,Los Angeles,21da8978-206f-5c66-71e0-c07e9e115e4b
ade9b2b4-efdd-35f8-0fa3-4266ccfdba9b,4217.0,34.04031,-118.25827,,Los Angeles,c6a53877-7733-0bdb-d721-0dff076ce2ef
9edfa3da-6cf5-5b15-8b53-031d05d51433,4220.0,34.074829,-118.258728,,Los Angeles,015c33b2-df14-61aa-f8eb-18b900745130
11ebcd49-428a-1c22-d5fd-b76a19fbeb1d,4227.0,34.0298,-118.270309,,Los Angeles,617959ce-3f1f-65a8-de52-71007814e8a2
4d125e7f-a59c-ec98-126c-bc8f38884479,4245.0,34.02404,-118.283409,,Los Angeles,f5cae3bf-3729-c619-c60a-3cab359eeefb
0fa07a3f-2e29-5065-6fa2-31e959acdd98,4246.0,34.023708,-118.279167,,Los Angeles,f5cae3bf-3729-c619-c60a-3cab359eeefb
98b33c6e-0a14-b90a-7795-e98680ee526e,4247.0,34.033642,-118.291313,,Los Angeles,2a9eba0c-df56-1d80-2a75-9159fb7ff337
642aad48-fcfc-fa81-b306-d70019d5f970,4248.0,34.028351,-118.288673,,Los Angeles,f5cae3bf-3729-c619-c60a-3cab359eeefb
e786ab37-5bca-47be-4298-17c53308fb2e,4249.0,34.020302,-118.281181,,Los Angeles,f5cae3bf-3729-c619-c60a-3cab359eeefb
e6fd68e8-d69c-91c2-7860-1602bb4a06cb,4250.0,34.03017,-118.280952,,Los Angeles,f5cae3bf-3729-c619-c60a-3cab359eeefb
b29c467d-2b5f-6932-91dc-59efeb21a3f6,4254.0,34.028679,-118.284111,,Los Angeles,f5cae3bf-3729-c619-c60a-3cab359eeefb
c470f0e7-f76f-bfb8-3412-fc12ac322c12,4255.0,33.97366,-118.422859,,Los Angeles,32ea6928-f623-6bf2-504b-74ba4a0fe75d
