weather_uuid,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_7_to_28cm,wind_speed_100m,city
a8a6ab3f-847c-0052-8a99-8c4a1a9f703f,2023-01-01 14:00:00,15.8195,55.858562,7.0195,14.13895,0.0,0.0,0.0,0.0,1,1015.9,1009.2007,29.0,0.0,0.0,29.0,0.21839008,0.7942283,6.28713,13.0695,0.48,8.919499,0.485,8.311245,Washington D.C.
18f918e2-4a8b-0188-cbe1-9514a28a0aaa,2023-01-01 15:00:00,15.4205,52.400517,5.7205,12.239628,0.0,0.0,0.0,0.0,0,1006.5,995.6086,18.0,15.0,8.0,0.0,0.19183367,0.834897,14.529915,15.6705,0.337,13.8705,0.254,19.95972,Los Angeles
62141123-3581-4f8d-02d7-0be411c22537,2023-01-01 15:00:00,15.8695,56.2551,7.1695,14.509619,0.0,0.0,0.0,0.0,3,1015.3,1008.6059,80.0,0.0,0.0,80.0,0.16336234,0.7896067,4.3349743,13.2695,0.479,9.1195,0.485,6.2145634,Washington D.C.
e71b8703-96ac-828f-0bb1-e330f38d2e64,2023-01-01 16:00:00,14.4705,58.462074,6.4205,11.498293,0.0,0.0,0.0,0.0,0,1007.2,996.26495,3.0,2.0,3.0,0.0,0.12483091,0.68538934,14.182355,15.2705,0.335,13.8205,0.254,23.770906,Los Angeles
5b72e1f8-4626-167d-b50f-88b8ce3e14e2,2023-01-01 16:00:00,15.7195,52.11902,5.9195,14.278439,0.0,0.0,0.0,0.0,0,1015.5,1008.80115,2.0,0.0,0.0,2.0,0.084747724,0.8560534,2.9024127,12.9695,0.479,9.3195,0.485,4.6102495,Washington D.C.
e9a51fb2-a7c8-8e4b-d3f1-8766336c7fcd,2023-01-01 17:00:00,12.2205,60.803314,4.8705,8.956424,0.0,0.0,0.0,0.0,0,1007.5,996.476,8.0,7.0,1.0,0.0,0.06260436,0.55863047,13.849477,13.8205,0.333,13.9205,0.254,26.987997,Los Angeles
db2b72bc-45cd-bf87-c1bf-1812972d858b,2023-01-01 17:00:00,11.1195,70.08351,5.8694997,8.778516,0.0,0.0,0.0,0.0,0,1016.1,1009.28906,1.0,0.0,1.0,0.0,0.03200457,0.39648354,9.0,11.6195,0.478,9.419499,0.484,11.874544,Washington D.C.
d52d5759-eec7-ddb5-7c98-81b15c41d5c5,2023-01-01 18:00:00,11.2205,58.261044,3.3205,7.6244545,0.0,0.0,0.0,0.0,0,1008.4,997.32764,13.0,2.0,11.0,0.0,0.05184683,0.55690217,14.003028,12.5205,0.331,13.8705,0.255,29.88217,Los Angeles
4abe7f1e-bcbf-81c3-11a2-bc4b49496b74,2023-01-01 18:00:00,9.0195,79.26537,5.6194997,6.5230885,0.0,0.0,0.0,0.0,2,1017.0,1010.1325,55.0,0.0,0.0,55.0,0.008410467,0.2388137,9.686609,10.2695,0.478,9.4695,0.484,14.007655,Washington D.C.
936d0e1e-83c0-2da8-3197-d4e2e8d5b9e3,2023-01-01 19:00:00,11.0205,58.41676,3.1705,7.529293,0.0,0.0,0.0,0.0,0,1009.5,998.4081,6.0,2.0,4.0,0.0,0.04799997,0.5475192,13.089354,11.6205,0.329,13.7705,0.255,29.28418,Los Angeles
77f5e215-5aa4-4133-4c9b-cd67bdbea965,2023-01-01 19:00:00,9.1195,82.91901,6.3694997,6.9074116,0.0,0.0,0.0,0.0,1,1017.0,1010.135,20.0,0.0,6.0,96.0,0.0028629045,0.1980598,8.891343,9.9695,0.471,9.4695,0.482,20.326454,Washington D.C.
e474e007-b2aa-40b4-f854-0d95a502a86a,2023-01-01 20:00:00,10.7705,57.942024,2.8205,6.748762,0.0,0.0,0.0,0.0,1,1010.4,999.28845,29.0,18.0,21.0,7.0,0.05875403,0.54465526,16.279802,10.9205,0.327,13.6205,0.255,33.27031,Los Angeles
6559200c-e1f5-de0a-400c-95af99df7fd9,2023-01-01 20:00:00,8.8695,84.61957,6.4195,6.8093567,0.0,0.0,0.0,0.0,3,1017.6,1010.7248,100.0,5.0,13.0,100.0,0.0,0.17536062,7.928177,9.419499,0.471,9.419499,0.481,18.39878,Washington D.C.
ea9238eb-f9f3-b65b-80f1-de02ce359204,2023-01-01 21:00:00,10.5705,58.718353,2.8205,6.903186,0.0,0.0,0.0,0.0,0,1010.5,999.37946,14.0,12.0,3.0,0.0,0.0492327,0.5275367,13.849477,10.4705,0.325,13.4705,0.255,29.49804,Los Angeles
9a21ab25-dd38-9fa4-13dc-2ed34444d8df,2023-01-01 21:00:00,8.4695,85.7496,6.2194996,6.6210794,0.0,0.0,0.0,0.0,3,1018.0,1011.1123,99.0,3.0,0.0,99.0,0.0,0.1581437,6.162207,8.919499,0.471,9.3695,0.481,15.379206,Washington D.C.
3eb17c27-5c83-2a51-a22b-a4d70746a9ba,2023-01-01 22:00:00,9.9705,61.11804,2.8205,6.2065535,0.0,0.0,0.0,0.0,0,1010.7,999.5538,7.0,6.0,1.0,1.0,0.04637295,0.47737032,14.512064,9.9705,0.324,13.2705,0.256,27.295977,Los Angeles
38af699d-3cd8-6ef3-801f-f9f5edd9f4c5,2023-01-01 22:00:00,8.2695,85.13832,5.9195,6.202078,0.0,0.0,0.0,0.0,0,1017.9,1011.00836,18.0,0.0,3.0,16.0,0.0,0.16270858,7.2,8.4695,0.471,9.2695,0.481,17.555307,Washington D.C.
